ID:START	AR	BW	CL	JG	JL	LB	MAD	MM	NB	SB	SN
1-1	_	_	_	_	_	_	_	_	_	_	_
1-2	_	_	_	_	_	_	_	_	_	_	_
1-3	_	_	_	_	_	_	_	_	_	_	_
1-4	_	_	_	_	_	_	_	_	_	_	_
1-5	_	_	_	_	_	_	_	_	_	_	_
1-6	_	_	_	_	_	_	_	_	_	_	_
1-7	_	_	_	_	_	_	_	_	_	_	_
1-8	_	_	_	_	_	_	_	_	_	_	_
1-9	_	_	_	_	_	_	_	_	_	_	_
1-10	_	_	_	_	_	_	_	_	_	_	_
1-11	_	_	_	_	_	_	_	_	_	_	_
1-12	_	_	_	_	_	_	_	_	_	_	_
1-13	_	_	_	_	_	_	_	_	_	_	_
1-14	_	_	_	_	_	_	_	_	_	_	_
1-15	_	_	_	_	_	_	_	_	_	_	_
1-16	_	_	_	_	_	_	_	_	_	_	_
1-17	_	_	_	_	_	_	_	_	_	_	_
1-18	_	_	_	_	_	_	_	_	_	_	_
1-19	_	_	_	_	_	_	_	_	_	_	_
1-20	_	_	_	_	_	_	_	_	_	_	_
1-21	_	_	_	_	_	_	_	_	_	_	_
1-22	_	_	_	_	_	_	_	_	_	_	_
1-23	_	_	_	_	_	_	_	_	_	_	_
1-24	_	_	_	_	_	_	_	_	_	_	_
1-25	_	_	_	_	_	_	_	_	_	_	_
1-26	_	_	_	_	_	_	_	_	_	_	_
1-27	_	_	_	_	_	_	_	_	_	_	_
1-28	_	_	_	_	_	_	_	_	_	_	_
1-29	_	_	_	_	_	_	_	_	_	_	_
1-30	_	_	_	_	_	_	_	_	_	_	_
1-31	_	_	_	_	_	_	_	_	_	_	_
1-32	_	_	_	_	_	_	_	_	_	_	_
1-33	_	_	_	_	_	_	_	_	_	_	_
1-34	_	_	_	_	_	_	_	_	_	_	_
1-35	_	_	_	_	_	_	_	_	_	_	_
1-36	INTERACTION	_	_	_	_	INTERACTION	_	INTERACTION	_	_	_
1-37	DRUG	_	DRUG	_	DRUG:HYP	DRUG:HYPER	_	DRUG	_	_	_
1-38	_	_	_	_	_	_	_	_	_	_	_
1-39	BEVERAGE[1]	_	BEVERAGE[1]	_	BEVERAGE[1]	BEVERAGE[1]	_	BEVERAGE[1]	_	_	_
1-40	BEVERAGE[1]	_	BEVERAGE[1]	_	BEVERAGE[1]	BEVERAGE[1]	_	BEVERAGE[1]	_	_	_
1-41	BEVERAGE[1]|FOOD[2]	_	BEVERAGE[1]|FOOD[2]	_	BEVERAGE[1]|FOOD[2]	BEVERAGE[1]|FOOD[2]	_	BEVERAGE[1]|FOOD[2]	_	_	_
1-42	_	_	_	_	_	_	_	_	_	_	_
1-43	_	_	_	_	_	_	_	_	_	_	_
1-44	_	_	_	_	_	_	_	_	_	_	_
1-45	_	_	_	_	_	_	_	_	_	_	_
1-46	_	_	_	_	_	_	_	_	_	_	_
1-47	_	_	_	_	_	_	_	_	_	_	_
1-48	_	_	_	_	_	_	_	_	_	_	_
1-49	_	_	_	_	_	_	_	_	_	_	_
1-50	_	_	_	_	_	_	_	_	_	_	_
1-51	_	_	_	_	_	_	_	_	_	_	_
1-52	_	_	_	_	_	_	_	_	_	_	_
1-53	_	_	_	_	_	_	_	_	_	_	_
1-54	_	_	_	_	_	_	_	_	_	_	_
1-55	_	_	_	_	_	_	_	_	_	_	_
1-56	_	_	_	_	_	_	_	_	_	_	_
1-57	_	_	_	_	_	_	_	_	_	_	_
1-58	_	_	_	_	_	_	_	_	_	_	_
1-59	_	_	_	_	_	_	_	_	_	_	_
1-60	_	_	_	_	_	_	_	_	_	_	_
1-61	_	_	_	_	_	_	_	_	_	_	_
2-1	_	_	_	_	_	_	_	_	_	_	_
2-2	_	_	_	_	_	_	_	_	_	_	_
2-3	_	_	_	_	_	_	_	_	_	_	_
2-4	_	_	_	_	_	_	_	_	_	_	_
2-5	_	_	_	_	_	_	_	_	_	_	_
2-6	_	_	_	_	_	_	_	_	_	_	_
2-7	_	_	_	_	_	_	_	_	_	_	_
2-8	_	_	_	_	_	_	_	_	_	_	_
2-9	_	_	_	_	_	_	_	_	_	_	_
2-10	_	_	_	_	_	_	_	_	_	_	_
2-11	_	_	_	_	_	_	_	_	_	_	_
2-12	_	_	_	_	_	_	_	_	_	_	_
2-13	_	_	_	_	_	_	_	_	_	_	_
2-14	_	_	_	_	_	_	_	_	_	_	_
2-15	_	_	_	_	_	_	_	_	_	_	_
2-16	_	_	_	_	_	_	_	_	_	_	_
2-17	_	_	_	_	_	_	_	_	_	_	_
2-18	_	_	_	_	_	_	_	_	_	_	_
2-19	_	_	_	_	_	_	_	_	_	_	_
2-20	_	_	_	_	_	_	_	_	_	_	_
3-1	_	_	_	_	_	_	_	_	_	_	_
3-2	_	_	_	_	_	_	_	_	_	_	_
3-3	_	_	_	_	_	_	_	_	_	_	_
3-4	_	_	_	_	_	_	_	_	_	_	_
3-5	_	_	_	_	_	_	_	_	_	_	_
3-6	_	_	_	_	_	_	_	_	_	_	_
3-7	_	_	_	_	_	_	_	_	_	_	_
3-8	_	_	_	_	_	_	_	_	_	_	_
3-9	_	_	_	_	_	_	_	_	_	_	_
3-10	_	_	_	_	_	_	_	_	_	_	_
3-11	_	_	_	_	_	_	_	_	_	_	_
3-12	_	_	_	_	_	_	_	_	_	_	_
3-13	_	_	_	_	_	_	_	_	_	_	_
3-14	_	_	_	_	_	_	_	_	_	_	_
3-15	_	_	_	_	_	_	_	_	_	_	_
3-16	_	_	_	_	_	_	_	_	_	_	_
3-17	_	_	_	_	_	_	_	_	_	_	_
3-18	_	_	_	_	_	_	_	_	_	_	_
3-19	_	_	_	_	_	_	_	_	_	_	_
3-20	_	_	_	_	_	_	_	_	_	_	_
3-21	_	_	_	_	_	_	_	_	_	_	_
3-22	_	_	_	_	_	_	_	_	_	_	_
3-23	_	_	_	_	_	_	_	_	_	_	_
3-24	_	_	_	_	_	_	_	_	_	_	_
3-25	_	_	_	_	_	_	_	_	_	_	_
3-26	_	_	_	_	_	_	_	_	_	_	_
3-27	_	_	_	_	_	_	_	_	_	_	_
3-28	_	_	_	_	_	_	_	_	_	_	_
3-29	_	_	_	_	_	_	_	_	_	_	_
3-30	_	_	_	_	_	_	_	_	_	_	_
3-31	_	_	_	_	_	_	_	_	_	_	_
3-32	_	_	_	_	_	_	_	_	_	_	_
3-33	_	_	_	_	_	_	_	_	_	_	_
3-34	_	_	_	_	_	_	_	_	_	_	_
3-35	_	_	_	_	_	_	_	_	_	_	_
3-36	_	_	_	_	_	_	_	_	_	_	_
3-37	_	_	_	_	_	_	_	_	_	_	_
3-38	_	_	_	_	_	_	_	_	_	_	_
3-39	_	_	_	_	_	_	_	_	_	_	_
3-40	_	_	_	_	_	_	_	_	_	_	_
3-41	_	_	_	_	_	_	_	_	_	_	_
3-42	_	_	_	_	_	_	_	_	_	_	_
3-43	_	_	_	_	_	_	_	_	_	_	_
3-44	_	_	_	_	_	_	_	_	_	_	_
3-45	_	_	_	_	_	_	_	_	_	_	_
3-46	_	_	_	_	_	_	_	_	_	_	_
3-47	_	_	_	_	_	_	_	_	_	_	_
3-48	_	_	_	_	_	_	_	_	_	_	_
3-49	_	_	_	_	_	_	_	_	_	_	_
3-50	_	_	_	_	_	_	_	_	_	_	_
3-51	_	_	_	_	_	_	_	_	_	_	_
3-52	_	_	_	_	_	_	_	_	_	_	_
3-53	_	_	_	_	_	_	_	_	_	_	_
3-54	_	_	_	_	_	_	_	_	_	_	_
3-55	_	_	_	_	_	_	_	_	_	_	_
3-56	_	_	_	_	_	_	_	_	_	_	_
3-57	_	_	_	_	_	_	_	_	_	_	_
3-58	_	_	_	_	_	_	_	_	_	_	_
3-59	_	_	_	_	_	_	_	_	_	_	_
3-60	_	_	_	_	_	_	_	_	_	_	_
3-61	_	_	_	_	_	_	_	_	_	_	_
3-62	DRUG	_	DRUG	_	_	DRUG:HYPER	_	DRUG	_	_	_
3-63	_	_	_	_	_	_	_	_	_	_	_
3-64	BEVERAGE[3]	_	BEVERAGE[3]	_	BEVERAGE:HYP[3]	BEVERAGE[3]	_	BEVERAGE[3]	BEVERAGE[1]	_	BEVERAGE[1]
3-65	BEVERAGE[3]	_	BEVERAGE[3]	_	BEVERAGE:HYP[3]	BEVERAGE[3]	_	BEVERAGE[3]	BEVERAGE[1]	_	BEVERAGE[1]
3-66	BEVERAGE[3]|FOOD[4]	_	BEVERAGE[3]|FOOD[4]	_	BEVERAGE:HYP[3]|FOOD:HYP[4]	BEVERAGE[3]|FOOD[4]	_	BEVERAGE[3]|FOOD[4]	BEVERAGE[1]|FOOD[2]	_	BEVERAGE[1]|FOOD[2]
3-67	_	_	_	_	_	_	_	_	_	_	_
3-68	_	_	_	_	_	_	_	_	_	_	_
3-69	_	_	_	_	_	_	_	_	_	_	_
3-70	INTERACTION	_	_	_	_	INTERACTION	_	INTERACTION	_	_	_
3-71	_	_	_	_	_	_	_	_	_	_	_
4-1	_	_	_	_	_	_	_	_	_	_	_
4-2	_	_	_	_	_	_	_	_	_	_	_
4-3	_	_	_	_	_	INTERACTION	_	_	_	_	_
4-4	_	_	_	_	_	_	_	_	_	_	_
4-5	_	_	_	_	_	_	_	_	_	_	_
4-6	_	_	_	_	_	_	_	_	_	_	_
4-7	_	_	_	_	_	_	_	_	_	_	_
4-8	_	_	_	INTERACTION[1]	_	INTERACTION[5]	_	_	_	_	_
4-9	_	_	_	INTERACTION[1]	_	INTERACTION[5]	_	_	_	_	_
4-10	_	_	_	_	_	_	_	_	_	_	_
4-11	_	_	_	_	_	_	_	_	_	_	_
4-12	_	_	_	_	_	_	_	_	_	_	_
4-13	_	_	_	_	_	_	_	_	_	_	_
4-14	_	_	_	_	_	_	_	_	_	_	_
4-15	_	_	_	_	_	_	_	_	_	_	_
4-16	_	_	_	_	_	_	_	_	_	_	_
4-17	DRUG	_	DRUG	DRUG	DRUG:HYP	DRUG:HYPER	_	DRUG	_	_	_
4-18	_	_	_	_	_	_	_	_	_	_	_
4-19	_	_	_	_	_	_	_	_	_	_	_
4-20	_	_	_	_	_	_	_	_	_	_	_
4-21	_	_	_	_	_	_	_	_	_	_	_
4-22	_	_	_	_	_	_	_	_	_	_	_
4-23	INTERACTION	_	_	_	_	INTERACTION	_	_	_	_	_
4-24	_	_	_	_	_	_	_	_	_	_	_
4-25	FOOD	_	_	FOOD-HYP	_	FOOD:HYPER	_	_	_	_	_
4-26	_	_	_	_	_	_	_	_	_	_	_
5-1	_	_	_	_	_	_	_	_	_	_	_
5-2	_	_	_	_	_	_	_	_	_	_	_
5-3	_	_	_	_	_	_	_	_	_	_	_
5-4	BEVERAGE[6]	BEVERAGE[1]	BEVERAGE[5]	BEVERAGE[2]	BEVERAGE[5]	BEVERAGE[6]	BEVERAGE[1]	BEVERAGE[5]	BEVERAGE[3]	BEVERAGE[1]	BEVERAGE[3]
5-5	BEVERAGE[6]	BEVERAGE[1]	BEVERAGE[5]	BEVERAGE[2]	BEVERAGE[5]	BEVERAGE[6]	BEVERAGE[1]	BEVERAGE[5]	BEVERAGE[3]	BEVERAGE[1]	BEVERAGE[3]
5-6	BEVERAGE[6]|FOOD[7]	BEVERAGE[1]|FOOD[2]	BEVERAGE[5]|FOOD[6]	BEVERAGE[2]|FOOD[3]	BEVERAGE[5]|FOOD:HYP[6]	BEVERAGE[6]|FOOD[7]	BEVERAGE[1]|FOOD[2]	BEVERAGE[5]|FOOD[6]	BEVERAGE[3]|FOOD[4]	BEVERAGE[1]|FOOD[2]	BEVERAGE[3]|FOOD[4]
5-7	_	_	_	_	_	_	_	_	_	_	_
5-8	_	_	_	_	_	_	_	_	_	_	_
5-9	_	_	_	_	_	_	_	_	_	_	_
5-10	_	_	_	_	_	_	_	_	_	_	_
5-11	_	_	_	_	_	_	_	_	_	_	_
5-12	_	_	_	_	_	_	_	_	_	_	_
5-13	FOOD	FOOD	FOOD	FOOD	FOOD	FOOD	_	FOOD	FOOD	FOOD	FOOD
5-14	_	_	_	_	_	_	_	_	_	_	_
5-15	_	_	_	_	INTERACTION[7]	_	_	_	_	_	_
5-16	INTERACTION[8]	INTERACTION[3]	INTERACTION[7]	INTERACTION[4]	INTERACTION[7]	INTERACTION[8]	INTERACTION[3]	INTERACTION	INTERACTION[5]	INTERACTION[3]	INTERACTION[5]
5-17	INTERACTION[8]	INTERACTION[3]	INTERACTION[7]	INTERACTION[4]	INTERACTION[7]	INTERACTION[8]	INTERACTION[3]	_	INTERACTION[5]	INTERACTION[3]	INTERACTION[5]
5-18	INTERACTION[8]	INTERACTION[3]	INTERACTION[7]	INTERACTION[4]	INTERACTION[7]	INTERACTION[8]	INTERACTION[3]	_	INTERACTION[5]	INTERACTION[3]	INTERACTION[5]
5-19	_	_	_	_	_	_	_	_	_	_	_
5-20	_	_	_	_	_	_	_	_	_	_	_
5-21	DRUG[9]	_	_	_	_	_	_	_	_	_	_
5-22	DRUG[9]	DRUG	DRUG	DRUG[5]|DRUG[6]	DRUG:HYP	DRUG:HYPER	DRUG	DRUG	DRUG	DRUG	DRUG
5-23	DRUG[9]	_	_	DRUG[5]	_	_	_	_	_	_	_
5-24	DRUG[9]	_	_	DRUG[5]	_	_	_	_	_	_	_
5-25	DRUG[9]	_	_	DRUG[5]	_	_	_	_	_	_	_
5-26	DRUG[9]	_	_	DRUG[5]	_	_	_	_	_	_	_
5-27	DRUG[9]	_	_	DRUG[5]	_	_	_	_	_	_	_
5-28	DRUG[9]	_	_	DRUG[5]	_	_	_	_	_	_	_
5-29	DRUG[9]	_	_	DRUG[5]	_	_	_	_	_	_	_
5-30	DRUG[9]	_	_	DRUG[5]	_	_	_	_	_	_	_
5-31	DRUG[9]	_	_	DRUG[5]	_	_	_	_	_	_	_
5-32	_	_	_	_	_	_	_	_	_	_	_
6-1	_	_	_	_	_	_	_	_	_	_	_
6-2	_	_	_	_	_	_	_	_	_	_	_
6-3	_	_	_	_	_	_	_	_	_	_	_
6-4	_	_	_	_	_	_	_	_	_	_	_
6-5	_	_	_	_	_	_	_	_	_	_	_
6-6	DRUG	_	DRUG	DRUG	DRUG:HYP	DRUG:HYPER	_	DRUG	_	_	_
6-7	_	_	_	_	INTERACTION[8]	_	_	_	_	_	_
6-8	_	_	INTERACTION[8]	INTERACTION[7]	INTERACTION[8]	_	_	_	_	_	_
6-9	INTERACTION	_	INTERACTION[8]	INTERACTION[7]	INTERACTION[8]	INTERACTION	_	INTERACTION	_	_	_
6-10	_	_	_	_	_	_	_	_	_	_	_
6-11	_	_	_	_	_	_	_	_	_	_	_
6-12	_	_	_	_	_	_	_	_	_	_	_
6-13	_	_	_	_	_	_	_	_	_	_	_
6-14	BEVERAGE[10]	_	BEVERAGE[9]	BEVERAGE[8]	BEVERAGE[9]	BEVERAGE[9]	BEVERAGE[4]	BEVERAGE[7]	BEVERAGE[6]	_	BEVERAGE[6]
6-15	BEVERAGE[10]	_	BEVERAGE[9]	BEVERAGE[8]	BEVERAGE[9]	BEVERAGE[9]	BEVERAGE[4]	BEVERAGE[7]	BEVERAGE[6]	_	BEVERAGE[6]
6-16	BEVERAGE[10]|FOOD[11]	_	BEVERAGE[9]|FOOD[10]	BEVERAGE[8]|FOOD[9]	BEVERAGE[9]|FOOD:HYP[10]	BEVERAGE[9]|FOOD[10]	BEVERAGE[4]|FOOD[5]	BEVERAGE[7]|FOOD[8]	BEVERAGE[6]|FOOD[7]	_	BEVERAGE[6]|FOOD[7]
6-17	_	_	_	_	_	_	_	_	_	_	_
7-1	_	_	_	_	_	_	_	_	_	_	_
7-2	_	_	_	_	_	_	_	_	_	_	_
7-3	_	_	_	_	_	_	_	_	_	_	_
7-4	_	_	_	_	_	_	_	_	_	_	_
7-5	_	_	_	_	_	_	_	_	_	_	_
7-6	_	_	_	_	_	_	_	_	_	_	_
7-7	_	_	_	_	_	_	_	_	_	_	_
7-8	_	_	_	_	_	_	_	_	_	_	_
7-9	_	_	_	_	_	_	_	_	_	_	_
7-10	INTERACTION	_	_	INTERACTION	_	INTERACTION	_	INTERACTION	_	_	_
7-11	_	_	_	_	_	_	_	_	_	_	_
7-12	_	_	_	_	_	_	_	_	_	_	_
7-13	DRUG	_	DRUG	DRUG	DRUG:HYP	DRUG:HYPER	_	DRUG	_	_	_
7-14	_	_	_	_	_	_	_	_	_	_	_
7-15	_	_	_	_	_	_	_	_	_	_	_
7-16	BEVERAGE	_	BEVERAGE	BEVERAGE-HYP	BEVERAGE:HYP	BEVERAGE:HYPER	_	BEVERAGE	_	_	_
7-17	_	_	_	_	_	_	_	_	_	_	_
7-18	_	_	_	_	_	_	_	_	_	_	_
7-19	_	_	_	_	_	_	_	_	_	_	_
7-20	_	_	_	_	_	_	_	_	BEVERAGE[8]	_	_
7-21	BEVERAGE[12]	_	BEVERAGE[11]	BEVERAGE[10]	BEVERAGE[11]	BEVERAGE[11]	_	BEVERAGE[9]	BEVERAGE[8]	_	_
7-22	BEVERAGE[12]	_	BEVERAGE[11]	BEVERAGE[10]	BEVERAGE[11]	BEVERAGE[11]	_	BEVERAGE[9]	BEVERAGE[8]	_	_
7-23	BEVERAGE[12]|FOOD[13]	_	BEVERAGE[11]|FOOD[12]	BEVERAGE[10]	BEVERAGE[11]|FOOD[12]	BEVERAGE[11]|FOOD[12]	_	BEVERAGE[9]|FOOD[10]	BEVERAGE[8]|FOOD[9]	_	_
7-24	_	_	_	_	_	_	_	_	_	_	_
7-25	_	_	_	_	_	_	_	_	_	_	_
8-1	_	_	_	_	_	_	_	_	_	_	_
8-2	_	_	_	_	_	_	_	_	_	_	_
8-3	_	_	_	_	_	_	_	_	_	_	_
8-4	_	_	_	_	_	_	_	_	_	_	_
8-5	_	_	_	_	_	_	_	_	_	_	_
8-6	_	_	_	_	_	_	_	_	_	_	_
8-7	_	_	_	_	_	_	_	_	_	_	_
8-8	_	_	_	_	_	_	_	_	_	_	_
8-9	_	_	_	_	_	_	_	_	_	_	_
8-10	_	_	_	_	_	_	_	_	_	_	_
8-11	_	_	_	_	_	_	_	_	_	_	_
8-12	_	_	_	_	_	_	_	_	_	_	_
8-13	INTERACTION	_	_	INTERACTION	_	INTERACTION	_	_	_	_	_
8-14	_	_	_	_	_	_	_	_	_	_	_
9-1	BEVERAGE[14]	_	BEVERAGE[13]	BEVERAGE[11]	BEVERAGE[13]	BEVERAGE[13]	_	BEVERAGE[11]	BEVERAGE[10]	_	_
9-2	BEVERAGE[14]	_	BEVERAGE[13]	BEVERAGE[11]	BEVERAGE[13]	BEVERAGE[13]	_	BEVERAGE[11]	BEVERAGE[10]	_	_
9-3	BEVERAGE[14]|FOOD[15]	_	BEVERAGE[13]|FOOD[14]	BEVERAGE[11]	BEVERAGE[13]	BEVERAGE[13]|FOOD[14]	_	BEVERAGE[11]|FOOD[12]	BEVERAGE[10]|FOOD[11]	_	_
9-4	_	_	_	_	_	_	_	_	_	_	_
9-5	_	_	_	_	_	_	_	_	_	_	_
9-6	_	_	_	_	_	_	_	_	_	_	_
9-7	_	_	_	INTERACTION[12]	INTERACTION[14]	_	_	INTERACTION[13]	_	_	_
9-8	_	_	_	INTERACTION[12]	INTERACTION[14]	_	_	INTERACTION[13]	_	_	_
9-9	INTERACTION	_	INTERACTION	INTERACTION[12]	INTERACTION[14]	INTERACTION	_	INTERACTION[13]	_	_	_
9-10	_	_	_	_	_	_	_	_	_	_	_
9-11	_	_	_	_	_	_	_	_	_	_	_
9-12	DRUG	_	DRUG	DRUG	DRUG:HYP	DRUG:HYPER	_	DRUG	_	_	_
9-13	_	_	_	_	_	_	_	_	_	_	_
10-1	_	_	_	_	_	_	_	_	_	_	_
10-2	_	_	_	_	_	_	_	_	_	_	_
10-3	_	_	_	_	_	_	_	_	_	_	_
10-4	_	_	_	_	_	_	_	_	_	_	_
10-5	_	_	_	_	_	_	_	_	BEVERAGE[12]	_	_
10-6	BEVERAGE[16]	_	BEVERAGE[15]	BEVERAGE[13]	BEVERAGE[15]	BEVERAGE[15]	_	BEVERAGE[14]	BEVERAGE[12]	_	_
10-7	BEVERAGE[16]	_	BEVERAGE[15]	BEVERAGE[13]	BEVERAGE[15]	BEVERAGE[15]	_	BEVERAGE[14]	BEVERAGE[12]	_	_
10-8	BEVERAGE[16]|FOOD[17]	_	BEVERAGE[15]|FOOD[16]	BEVERAGE[13]|FOOD[14]	BEVERAGE[15]	BEVERAGE[15]|FOOD[16]	_	BEVERAGE[14]|FOOD[15]	BEVERAGE[12]|FOOD[13]	_	_
10-9	_	_	_	_	_	_	_	_	_	_	_
10-10	_	_	_	_	_	_	_	_	_	_	_
10-11	_	_	_	_	_	_	_	_	_	_	_
10-12	INTERACTION	_	INTERACTION	INTERACTION	INTERACTIION	INTERACTION	_	INTERACTION	_	_	_
10-13	_	_	_	_	_	_	_	_	_	_	_
10-14	_	_	_	_	_	_	_	_	_	_	_
10-15	_	_	_	_	_	_	_	_	_	_	_
10-16	DRUG	_	DRUG	DRUG	DRUG:HYP	DRUG:HYPER	_	DRUG	_	_	_
10-17	_	_	_	_	_	_	_	_	_	_	_
11-1	_	_	_	_	_	_	_	_	_	_	_
11-2	_	_	_	_	_	_	_	_	_	_	_
11-3	_	_	_	_	_	_	_	_	_	_	_
11-4	_	_	_	_	_	_	_	_	_	_	_
11-5	_	_	_	_	_	_	_	_	_	_	_
11-6	_	_	_	_	_	_	_	_	_	_	_
11-7	_	_	_	_	_	_	_	_	_	_	_
11-8	_	_	_	_	_	_	_	_	_	_	_
11-9	_	_	_	_	_	_	_	_	_	_	_
11-10	_	_	_	_	_	_	_	_	_	_	_
11-11	DRUG	_	_	DRUG	DRUG:HYP	DRUG:HYPER	_	DRUG	_	_	_
11-12	_	_	_	_	_	_	_	_	_	_	_
11-13	_	_	_	_	_	_	_	_	_	_	_
11-14	_	_	_	_	INTERACTION[16]	_	_	_	_	_	_
11-15	INTERACTION[18]	_	_	INTERACTION[15]	INTERACTION[16]	INTERACTION	_	_	_	_	_
11-16	INTERACTION[18]	_	_	INTERACTION[15]	INTERACTION[16]	_	_	_	_	_	_
11-17	INTERACTION[18]	_	_	INTERACTION[15]	INTERACTION[16]	_	_	_	_	_	_
11-18	INTERACTION[18]	_	_	INTERACTION[15]	INTERACTION[16]	_	_	_	_	_	_
11-19	INTERACTION[18]	_	_	INTERACTION[15]	INTERACTION[16]	_	_	_	_	_	_
11-20	INTERACTION[18]	_	_	INTERACTION[15]	INTERACTION[16]	_	_	_	_	_	_
11-21	INTERACTION[18]	_	_	INTERACTION[15]	INTERACTION[16]	_	_	_	_	_	_
11-22	INTERACTION[18]	_	_	INTERACTION[15]	INTERACTION[16]	_	_	_	_	_	_
11-23	INTERACTION[18]	_	_	INTERACTION[15]	INTERACTION[16]	_	_	_	_	_	_
11-24	INTERACTION[18]	_	_	INTERACTION[15]	INTERACTION[16]	_	_	_	_	_	_
11-25	INTERACTION[18]	_	_	INTERACTION[15]	INTERACTION[16]	INTERACTION[17]	_	_	_	_	_
